"F1_*Loc","F2_*Loc","XCOO","YCOO","F1_Ag","F1_Ag_INAA","F1_Al","F1_Al2O3","F1_As","F1_As_INAA","F1_Au_INAA","F1_B","F1_Ba","F1_Ba_INAA","F1_Be","F1_Bi","F1_Br","F1_Br_INAA","F1_Ca","F1_Ca_INAA","F1_CaO","F1_Cd","F1_Ce_INAA","F1_Cl","F1_Co","F1_Co_INAA","F1_Cond","F1_Cr","F1_Cr_INAA","F1_Cs_INAA","F1_Cu","F1_Eu_INAA","F1_F","F1_F_ionselect","F1_Fe","F1_Fe_INAA","F1_Fe2O3","F1_Hf_INAA","F1_Hg","F1_Hg_INAA","F1_Ir_INAA","F1_K","F1_K2O","F1_La","F1_La_INAA","F1_Li","F1_LOI","F1_Lu_INAA","F1_Mass_INAA","F1_Mg","F1_MgO","F1_Mn","F1_MnO","F1_Mo","F1_Mo_INAA","F1_Na","F1_Na_INAA","F1_Na2O","F1_Nd_INAA","F1_Ni","F1_Ni_INAA","F1_NO2","F1_NO3","F1_P","F1_P2O5","F1_Pb","F1_pH","F1_PO4","F1_Rb","F1_S","F1_Sb","F1_Sb_INAA","F1_Sc","F1_Sc_INAA","F1_Se","F1_Se_INAA","F1_Si","F1_SiO2","F1_Sm_INAA","F1_Sn_INAA","F1_SO4","F1_Sr","F1_Sr_INAA","F1_Sum","F1_Ta_INAA","F1_Tb_INAA","F1_Te","F1_Th","F1_Th_INAA","F1_Ti","F1_TiO2","F1_U_INAA","F1_V","F1_W_INAA","F1_Y","F1_Yb_INAA","F1_Zn","F1_Zn_INAA","F2_Ag","F2_Ag_INAA","F2_Al","F2_Al2O3","F2_As","F2_As_INAA","F2_Au_INAA","F2_B","F2_Ba","F2_Ba_INAA","F2_Be","F2_Bi","F2_Br","F2_Br_INAA","F2_Ca","F2_Ca_INAA","F2_CaO","F2_Cd","F2_Ce_INAA","F2_Cl","F2_Co","F2_Co_INAA","F2_Cond","F2_Cr","F2_Cr_INAA","F2_Cs_INAA","F2_Cu","F2_Eu_INAA","F2_F","F2_F_ionselect","F2_Fe","F2_Fe_INAA","F2_Fe2O3","F2_Hf_INAA","F2_Hg","F2_Hg_INAA","F2_Ir_INAA","F2_K","F2_K2O","F2_La","F2_La_INAA","F2_Li","F2_LOI","F2_Lu_INAA","F2_Mass_INAA","F2_Mg","F2_MgO","F2_Mn","F2_MnO","F2_Mo","F2_Mo_INAA","F2_Na","F2_Na_INAA","F2_Na2O","F2_Nd_INAA","F2_Ni","F2_Ni_INAA","F2_NO2","F2_NO3","F2_P","F2_P2O5","F2_Pb","F2_pH","F2_PO4","F2_Rb","F2_S","F2_Sb","F2_Sb_INAA","F2_Sc","F2_Sc_INAA","F2_Se","F2_Se_INAA","F2_Si","F2_SiO2","F2_Sm_INAA","F2_Sn_INAA","F2_SO4","F2_Sr","F2_Sr_INAA","F2_Sum","F2_Ta_INAA","F2_Tb_INAA","F2_Te","F2_Th","F2_Th_INAA","F2_Ti","F2_TiO2","F2_U_INAA","F2_V","F2_W_INAA","F2_Y","F2_Yb_INAA","F2_Zn","F2_Zn_INAA","DATE","*SAMP","ELEV","UTM","*COUN","*ASP","*GENLAN","*TOPO","*FORDEN","*TREESPE","TRHIGH","RELAS","*BUSHDEN","*BUSHSPEC","*GRVEGETATIO","*MOSS","*TOP","AoMEAN","*AoRANGE","HUMNO","HUMTHI","*C_PAR","*C_grain","*COLA","*COLE","LOWDE","*COLB","LOWDB","*COLC","TOPC","*WEATH","TEMP","CATLEV0","CATLEV1","CATLEV2","LITO","F1_Ag","F1_Ag","F2_Ag","F1_Al2O3","F1_Al2O3","F2_Al2O3","F1_Au_INAA","F1_Au_INAA","F2_Au_INAA","F1_Ba_INAA","F1_Ba_INAA","F2_Ba_INAA"
312,22,734135.1,7667800,0.009,2.5,11500,14.67,0.5,0.25,0.004,1.5,106,750,0.32,0.061,0.001,16,5900,40000,4.49,0.042,99,0.001,10,18,3,44.5,140,0.5,21.5,2.2,0.0005,0.000001,19400,46000,5.76,7,0.01,0.5,0.0025,1800,1.68,31.9,51,11.7,1.85,0.34,29.09,6100,2.59,260,0.09,0.1,0.5,460,31500,3.71,40,28.5,10,0.0005,0.0005,1300,0.3,4.2,6,0.002,42,41,0.08,0.05,3.8,16,0.062,1.5,170,63.62,6.5,50,0.0043534,29.9,250,99.55,2.7,0.9,0.02,10,8.1,1230,0.79,1.3,44.7,0.5,7.7,2.3,29.3,126,0.012,2.5,13600,14.59,0.5,0.25,0.002,4,124,640,0.4,0.055,0.001,9.7,6940,40000,4.67,0.044,93,0.002827,10.8,20,2.4,44.6,150,0.5,29.4,1.8,0.0005,0.000001,21500,46600,6.13,7,0.02,0.5,0.0025,2400,1.59,22,39,9.7,1.88,0.38,39.35,6410,2.67,301,0.1,0.1,0.5,650,33200,3.58,31,31,10,0.0005,0.0005,1330,0.27,2.1,6.4,0.002,49,43,0.012,0.05,4.4,19,0.037,1.5,140,61.93,6,50,0.0027614,32.5,250,98.24,2.1,0.9,0.014,10,7.6,1360,0.82,2.2,50.1,0.5,7.9,2.1,33.3,119,"950819  ","Smirnov",100,36,"RUS","FLAT","PLAIN","TOP","MD","BI..PI",9,5,"S","..RO","C.B.GMLO","HSDC","M5",3,"2_4",9,2,"TILL",,,,6,,19,,44,"MIX",12,1,506,0,21,0.00212132034355964,0.0105,40.4061017820885,0.0565685424949239,14.63,0.773322522145234,0.0014142135623731,0.003,94.2809041582063,77.7817459305202,695,22.3832362389986
746,32,626978.2,7706727,0.01,2.5,9730,13.62,1.7,0.25,0.001,1.5,33.1,410,0.28,0.018,0.001,4,3860,30000,4.06,0.06,39,0.001,12.7,16,7.3,39.7,100,0.5,61.4,1.3,0.0005,0.000001,24800,43000,6.74,6,0.01,0.5,0.0025,600,1.08,9.8,19,4.6,1.45,0.4,33.86,5760,2.54,278,0.1,0.1,0.5,210,22900,3.24,17,34.5,70,0.0005,0.0005,727,0.15,0.6,5.1,0.002,21,52,0.027,0.05,4.2,16,0.063,1.5,130,65.88,3.4,50,0.0302156,9.7,250,99.75,0.25,0.25,0.0015,5,3.7,1260,0.9,0.9,55.3,0.5,5.9,2.3,28.3,102,0.009,2.5,15100,15.09,1,0.25,0.001,3,73.5,580,0.28,0.025,0.001,7.5,4520,30000,4.06,0.052,64,0.002197,12.5,19,5.1,46.5,110,0.5,55.4,1.6,0.0005,0.000001,23400,48700,6.55,8,0.02,0.5,0.0025,1400,1.33,16.7,32,6,1.91,0.5,33.83,7160,2.75,273,0.09,0.1,0.5,390,25300,3,26,35.7,10,0.0005,0.0005,584,0.14,1.6,5.8,0.002,38,36,0.021,0.05,5.7,23,0.056,1.5,170,63.92,5.3,50,0.0205608,14.3,250,99.61,0.25,0.7,0.014,7,5.8,1550,0.77,0.25,58.9,0.5,8,3.2,30.3,97,"950124  ","Smirnov",80,36,"RUS","SE","RIDGE","TOP","S","BI..PI",3,0,"MD","BI..","C..","-9999","M6",1,"0_2",12,1,"TILLSAP",,,,4,,23,,45,"DRY",15,1,501,0,52,0.000707106781186548,0.0095,14.8864585512958,1.03944696834423,14.355,14.4820197609784,0,0.001,0,120.208152801713,495,48.5689506269548
259,33,649400,7728000,0.017,2.5,6750,14.16,1.2,2.7,0.001,1.5,20.9,550,0.15,0.018,0.001,7.3,3720,30000,4.28,0.025,43,0.001,6.1,14,3.2,25.1,86,1,30.5,1.4,0.0005,0.000001,14400,39200,5.1,7,0.01,0.5,0.0025,600,1.26,11.4,22,3.7,1.13,0.37,35.2,3220,1.98,147,0.08,0.1,0.5,190,29000,3.58,24,16.2,10,0.0005,0.0005,737,0.16,1,5.8,0.002,36,24,0.005,0.3,2.6,16,0.085,1.5,150,66.61,3.7,50,0.0088692,11,700,99,0.5,0.6,0.007,5,4.8,1040,0.64,0.25,33.2,0.5,5.4,2.3,18.6,91,0.005,2.5,7250,14.26,0.9,1.7,0.001,3,19.4,500,0.16,0.014,0.001,12,3260,30000,4.1,0.025,48,0.003062,5,11,3.7,22.5,75,0.5,17.7,1.3,0.0005,0.000001,12400,36500,4.99,8,0.01,0.5,0.0025,600,1.3,10.4,22,3.7,1.46,0.41,36.35,2660,1.9,149,0.08,0.1,0.5,180,29600,3.48,22,13.9,10,0.0005,0.0005,704,0.16,1.1,5.4,0.002,35,38,0.014,0.05,2.4,18,0.094,1.5,160,67.49,4.3,50,0.0058108,9.8,800,99.84,0.25,0.25,0.0015,5,5.1,904,0.62,0.25,32.5,0.5,5,2.5,20.6,25,"950801  ","GKJHTV",200,35,"NOR","E","RIDGE","CONCMED","MD","BI",3,0,"MD",".BI.JU","C.BL.GM","-9999","M10",3,"2_4",5,3,"FLUV",,,,5,,17,,28,"DRY",-9999,1,247,0,20,0.00848528137423857,0.011,154.277843167974,0.0707106781186545,14.21,0.995224181824835,0,0.001,0,35.3553390593274,525,13.4687005940295
591,39,749247.2,7540978,0.016,2.5,11300,10.79,0.3,0.25,0.001,1.5,38.6,300,0.11,0.028,0.001,3,2610,40000,4.19,0.023,18,0.001,12.5,43,2.8,107,1400,0.5,94.6,0.5,0.0005,0.000001,15700,53200,7.64,2,0.01,0.5,0.0025,1200,0.89,4,8.7,5.5,1.67,0.19,31.82,8650,10.24,136,0.12,0.1,0.5,380,16800,2.06,2.5,122,340,0.0005,0.0005,204,0.05,0.7,6,0.002,32,62,0.005,0.05,1.7,21,0.039,1.5,150,60.49,1.4,50,0.0031628,11.6,250,98.55,0.25,0.25,0.017,1.5,2.2,468,0.42,0.25,33.6,0.5,1.4,1,16.9,105,0.015,2.5,15100,14.08,0.4,0.25,0.001,3,53.7,300,0.2,0.021,0.001,10,4800,40000,5.53,0.02,25,0.002888,7.7,24,5,39.4,290,0.5,41.2,0.9,0.0005,0.000001,15500,54600,7.25,5,0.01,0.5,0.0025,1700,1.25,8.4,14,5.6,3.26,0.34,30.85,4690,3.83,147,0.1,0.1,0.5,510,26900,3.02,12,33.6,10,0.0005,0.00126,559,0.12,1,5.9,0.002,32,60,0.005,0.05,2.9,23,0.109,1.5,150,58.95,2.9,50,0.0085072,14.7,250,98.07,0.25,0.25,0.011,4,2.6,917,0.68,1.5,39.3,0.5,4.5,2.3,19.9,62,"950626  ","Smirnov",170,36,"RUS","S","LOWMO","CONVMED","MD","SP.BI.",11,13,"S","..WIROJU","C.BO.G","-9999","M7",5,"4_8",10,4,"TILL",,,,14,,30,,55,"MIX",12,2,512,3,6,0.000707106781186548,0.0155,9.1239584669232,2.32638131010374,12.435,37.4166676333533,0,0.001,0,0,300,0
319,42,586431,7745130,0.005,2.5,11000,13.6,0.3,0.25,0.001,1.5,13.3,550,0.36,0.05,0.001,2.5,2560,20000,2.89,0.014,30,0.001,9.7,14,2.6,42.4,96,0.5,47.8,0.7,0.0005,0.000001,19200,30500,4.72,3,0.02,0.5,0.0025,600,2.18,12.5,14,18.5,1.94,0.16,32.38,7040,2.22,266,0.07,0.1,0.5,100,27700,3.65,11,36.6,10,0.0005,0.0005,479,0.09,1.9,5.7,0.002,87,51,0.005,0.05,2.3,7.9,0.05,1.5,430,68.18,1.8,50,0.0032456,12.2,250,100.07,0.25,0.25,0.008,8,4.1,1000,0.52,1.6,34.5,0.5,3.3,0.8,34.6,68,0.005,2.5,10800,13.45,0.3,0.25,0.001,3,11.5,510,0.33,0.048,0.001,4.1,2420,20000,2.86,0.015,32,0.001,10,16,3.1,54.6,130,1,31,0.7,0.0005,0.000001,18300,35200,4.79,3,0.01,0.5,0.0025,600,2.1,9,15,18.4,2.03,0.16,32.36,8390,2.34,257,0.07,0.1,0.5,100,30200,3.41,9,47.2,10,0.0005,0.0005,350,0.09,1.2,5.6,0.002,77,33,0.005,0.05,2.2,11,0.053,1.5,220,67.98,2.3,50,0.0037174,14.1,250,99.66,1.3,0.25,0.009,5,4.6,983,0.54,0.25,33.7,0.5,2.6,1,36.4,53,"950731  ","GKJHOJ",90,35,"NOR","FLAT","LOWMO","FLATTER","MD","BI",3,-9999,"MD","BI","C.M.GL","PSSC","-9999",2,".5_4",7,2,"FLUV",,,,5,,25,,49,"MIX",17,1,243,0,20,0,0.005,0,0.106066017177982,13.525,1.56844387693874,0,0.001,0,28.2842712474619,530,10.6733099047026
294,51,461915.6,7416106,0.004,2.5,8450,15.61,0.7,0.25,0.001,1.5,30.9,790,0.26,0.068,0.001,0.25,1270,10000,4.86,0.011,38,0.0021726,4.9,6,3.5,36.1,51,0.5,7.2,0.8,0.0005,0.000001,14900,18900,8.14,5,0.01,0.5,0.0025,900,1.08,18.5,23,6.6,2.91,0.19,34.2,2550,2.94,115,0.11,0.1,0.5,110,25000,3.54,15,12.7,10,0.0005,0.0005,465,0.16,2.1,5.6,0.002,91,36,0.066,0.05,2.2,5.6,0.058,1.5,220,59.68,2.2,50,0.0092422,4.9,250,99.96,1,0.8,0.197,14,12,808,0.92,1.6,34.1,0.5,4.5,1.1,12.7,25,0.003,2.5,7910,13.09,0.7,0.25,0.001,1.5,29.3,760,0.25,0.019,0.001,0.25,1060,5000,1.95,0.011,46,0.001,4.4,7,4,30.8,67,0.5,7,0.8,0.0005,0.000001,13100,21000,2.86,6,0.02,0.5,0.0025,900,2.8,17.8,26,6.4,1.48,0.21,36.56,2230,0.96,106,0.04,0.1,0.5,100,28200,3.36,15,10.9,10,0.0005,0.0005,425,0.09,2,5.8,0.002,76,33,0.005,0.05,2,7.5,0.039,1.5,170,73.99,2.7,50,0.011923,4,500,101.03,0.8,0.25,0.0015,13,12,747,0.42,2.3,30.6,0.5,4,1.1,12.1,25,"950710  ","VGMA",180,35,"FIN","E","RIDGE","CONCLOW","MD","P",17,10,"NO","NO","BJUO.MO.CR","HSSC","D10",1.7,"0.5_4.0",8,1.8,"TILL",,,,14,,19,,40,"DRY",13,3,65,7,7,0.000707106781186547,0.0035,40.4061017820884,1.7819090885901,14.35,24.8349698758202,0,0.001,0,21.2132034355964,775,5.47437508015392
632,53,532336.8,7509817,0.004,2.5,10900,11.98,0.8,0.25,0.004,1.5,31.5,440,0.31,0.041,0.001,2.9,1610,20000,2.7,0.016,40,0.0047348,8.1,15,2.8,60,210,1,14.1,1,0.0005,0.000001,17600,36600,4.77,6,0.01,0.5,0.0025,1000,1.94,17.9,25,8.9,1.83,0.33,32.42,3530,2.29,147,0.06,0.1,4,120,21800,2.66,20,22,10,0.0005,0.0005,166,0.04,2,5.9,0.002,110,19,0.005,0.05,4,14,0.025,1.5,150,70.12,3.3,50,0.0055304,8.4,250,98.98,0.25,0.25,0.005,9,8.4,974,0.6,4.3,43.3,0.5,10.2,2.1,15.8,25,0.003,2.5,10200,11.85,0.7,0.25,0.001,1.5,32.5,530,0.29,0.038,0.001,3,1460,30000,2.71,0.017,46,0.001,7.8,16,2.9,57.1,250,2,14,0.9,0.0005,0.000001,16200,38100,4.65,7,0.01,0.5,0.0025,1100,1.89,15.4,26,9.4,1.71,0.43,36.49,3450,2.32,135,0.06,0.1,0.5,110,25800,2.81,19,21.6,10,0.0005,0.0005,162,0.04,1.8,5.8,0.002,81,18,0.014,0.2,3.7,18,0.02,1.5,140,70.47,3.6,50,0.0056556,8,250,99.11,0.25,0.7,0.005,7,7.5,871,0.6,4.2,40.8,0.5,8.8,2.6,16,25,"950821  ","RPAV",280,35,"FIN","NE","PLAIN","CONCLOW","MD","P.SBI.JUN",14,37,"NO","NO","B.JUOMO.LI","HSSC","M10",5.5,"3.0_8.0",6,1.7,"TILL",,,,7,,24,,46,"RAIN",9,3,65,9,1,0.000707106781186547,0.0035,40.4061017820884,0.0919238815542517,11.915,1.54299423506927,0.00212132034355964,0.0025,169.705627484771,63.6396103067893,485,26.2431382708409
260,54,618500,7709600,0.007,2.5,9760,13.59,1,3.9,0.001,1.5,32.6,490,0.21,0.039,0.001,5.8,3690,30000,3.62,0.013,37,0.0021182,6,14,2.9,24.3,78,0.5,25.7,1,0.0005,0.000001,14000,38000,4.21,5,0.01,0.5,0.0025,1000,1.32,11.6,20,8.1,1.48,0.25,34.01,4640,1.73,144,0.06,0.1,0.5,300,26100,3.38,13,13.7,100,0.0005,0.0005,447,0.1,1.6,5.9,0.002,51,23,0.005,0.05,3.3,14,0.045,1.5,140,68.19,2.7,50,0.0062496,10.3,250,98.14,0.25,0.25,0.009,5,4.9,972,0.45,0.25,35,0.5,3.9,1.8,21.6,84,0.02,2.5,10100,14.24,1.6,0.25,0.001,1.5,26.4,380,0.25,0.046,0.001,5.5,2570,30000,3.77,0.031,38,0.0038786,6.3,12,6.1,21.8,66,0.5,39.4,0.9,0.0005,0.000001,13600,34200,4.77,6,0.02,0.5,0.0025,1000,1.33,10.8,17,14,2.41,0.28,32.11,3990,1.83,150,0.07,0.1,0.5,170,30000,3.5,15,14.9,10,0.0005,0.0005,500,0.12,5.2,5.8,0.002,35,40,0.005,0.05,2.4,15,0.06,1.5,160,67.13,2.6,50,0.0098726,9.9,250,99.68,0.25,0.25,0.004,6,4.4,818,0.51,0.25,30.1,0.5,3.3,1.7,40.3,61,"950730  ","CRTF",50,35,"NOR","FLAT","RIDGE","TOP","MD","PI.BI",5,14,"MD","BI..PI","M.BC.GL","PSRD","M10",4,"2_",5,3,"FLUV",,,,12,,22,,80,"DRY",25,1,501,0,20,0.00919238815542512,0.0135,136.18352822852,0.459619407771256,13.915,6.60610000389876,0,0.001,0,77.7817459305202,435,35.7617222669059
321,63,612200,7546100,0.013,2.5,18400,14.58,0.8,0.25,0.001,1.5,56.2,530,0.37,0.04,0.001,3.7,1170,20000,3.12,0.041,44,0.0030774,8.3,15,2.2,41.3,210,1,17.5,1.2,0.0005,0.000001,16800,36700,4.6,7,0.03,0.5,0.0025,1500,1.36,12.5,23,10.9,2.79,0.28,29.34,4500,1.9,184,0.06,0.1,9,100,28800,3.38,22,28.8,69,0.0005,0.0005,340,0.08,4.6,6.2,0.002,48,28,0.005,0.3,2.3,11,0.07,1.5,180,67.04,3.3,50,0.001,9.5,250,99.47,0.7,0.6,0.004,7,6.4,1080,0.55,0.25,33.9,0.5,3.1,1.8,31.3,77,0.003,2.5,13400,14.47,0.5,0.25,0.001,1.5,81.6,440,0.21,0.014,0.001,2.2,1240,40000,3.75,0.028,60,0.001,9.7,14,2.4,50,190,0.5,20.9,1.2,0.0005,0.000001,15600,33300,4.19,7,0.02,0.5,0.0025,3400,1.2,22.3,33,12.3,1.93,0.22,36.99,6830,2.12,157,0.06,0.1,0.5,70,31300,3.8,27,28.3,110,0.0005,0.0005,311,0.08,2,5.6,0.002,52,19,0.005,0.05,1.7,15,0.042,1.5,90,67.32,4.6,50,0.0034054,8.4,250,99.4,0.25,0.25,0.004,7,4.9,1160,0.48,1.1,32.3,0.5,3,1.7,36,25,"950802  ","Smirnov",160,35,"RUS","FLAT","PLAIN","TOPFLAT","MD",".PIBI.",12,11,"S","BI..","M.B.CLO","HSDC","D7",4,"3_5",4,4,"FLUVG",,,,5,,17,,38,"DRY",20,1,510,2,1,0.00707106781186548,0.008,176.776695296637,0.0777817459305198,14.525,1.07100510747704,0,0.001,0,63.6396103067893,485,26.2431382708409
723,66,694049,7403132,0.043,2.5,34700,15.51,6,6.4,0.001,5,114,500,0.84,0.115,0.001,3.7,4380,20000,2.83,0.046,99,0.001,24.7,30,6.3,110,210,3,34.4,1.2,0.0005,0.000001,42000,52500,6.65,5,0.02,0.5,0.0025,3900,2.23,32.5,42,29.2,5.26,0.28,31.21,15400,3.64,541,0.1,0.6,0.5,410,22700,2.99,27,60.6,10,0.0005,0.0010268,370,0.09,6.4,5.5,0.002,120,56,0.044,0.05,8.4,16,0.132,1.5,130,59.53,4,50,0.0037206,22.4,250,99.47,3.2,0.25,0.024,21,15,2080,0.65,2.2,79.8,0.5,7.5,1.4,54.1,112,0.074,2.5,40800,16.12,4.9,5.3,0.003,8,164,560,1.17,0.158,0.001,3.6,9130,10000,2.91,0.061,160,0.0023868,30.7,35,7.1,129,210,4,51.9,1.4,0.0017466,0.000001,47300,53900,7.63,4,0.04,0.5,0.0025,6100,2.58,39.1,49,35.7,7.19,0.38,35.29,19300,4.07,544,0.1,0.2,0.5,840,22100,2.58,38,70.6,10,0.0005,0.0005,329,0.1,7.1,6.1,0.002,120,75,0.065,0.3,11.1,21,0.149,1.5,90,55.2,6.2,50,0.0055492,51.4,250,99.24,1.5,0.8,0.039,25,18,2400,0.76,3.7,98.4,0.5,11.8,2.3,75.4,116,"950709  ","Smirnov",60,36,"RUS","FLAT","FLAT","FLAT","MD","PI.BI.",4,4,"MD","..WI","M..BCL","PSDR","M6",3,"1_4",7,3,"FLUVG",,,,1,,10,,13,"DRY",15,2,519,2,1,0.021920310216783,0.0585,74.9412315103691,0.431335136523795,15.815,5.45475986751558,0.0014142135623731,0.002,141.42135623731,42.4264068711929,530,16.0099648570539
